Question,Answer,Class
2.9999999999999999 >> .5?,"This is possibly the single worst idea I have ever seen. Its only possible purpose for existing is for winning an obfusticated code contest. There's no significance to the long numbers you posted -- they're an artifact of the underlying floating-point implementation, filtered through god-knows how many intermediate layers. Bit-shifting by a fractional number of bytes is insane and I'm surprised it doesn't raise an exception -- but that's Javascript, always willing to redefine ""insane"". If I were you, I'd avoid ever using this ""feature"". Its only value is as a possible root cause for an unusual error condition. Use Math.floor() and take pity on the next programmer who will maintain the code. Confirming a couple suspicions I had when reading the question: Right-shifting any fractional number x by any fractional number y will simply truncate x, giving the same result as Math.floor() while thoroughly confusing the reader. 2.999999999999999777955395074968691915... is simply the largest number that can be differentiated from ""3"". Try evaluating it by itself -- if you add anything to it, it will evaluate to 3. This is an artifact of the browser and local system's floating-point implementation. ",javascript
How to check if PHP array is associative or sequential?,"Unless PHP has a builtin for that, you won't be able to do it in less than O(n) - enumerating over all the keys and checking for integer type. In fact, you also want to make sure there are no holes, so your algorithm might look like: for i in 0 to len(your_array):     if not defined(your-array[i]):         # this is not an array array, it's an associative array :) But why bother? Just assume the array is of the type you expect. If it isn't, it will just blow up in your face - that's dynamic programming for you! Test your code and all will be well... ",php
What ways are there of drawing 3D trees using Java and OpenGL?,There are thousands of methods. A better question would define 'best' in a more confined way. Are we talking 'best' as in speed of drawing (suitable for thousands or millions of trees)? Best as in best-looking? etc. ,java
What ways are there of drawing 3D trees using Java and OpenGL?,There are thousands of methods. A better question would define 'best' in a more confined way. Are we talking 'best' as in speed of drawing (suitable for thousands or millions of trees)? Best as in best-looking? etc. ,c++
Why can't c++ ifstreams read from devices?,"I have found random issues like this in C++ I/O for years.  It has always seemed like a backwards step to me. I haven't tried it, but you might want to look at what Boost has to offer: http://www.boost.org/doc/libs/1_36_0/libs/iostreams/doc/index.html ",c++
Is abstracting data type (sometimes) a good idea?,"I think you answered your own question - better data integrity and validation, better system ",c#
What is the best way to validate a credit card in PHP?,"This is only to make sure that the numbers are valid using some basic RegEX patterns. Note, this does not check to see if the numbers are in-use by someone. http://www.roscripts.com/How_to_validate_credit_card_numbers-106.html ",php
How can I convert HTML to Textile?,"This is a simple markup replacement, nothing a good regex could not fix. I recommend Perl, LWP::Simple and some regexes to do the whole thing (spidering, stripping design and menus, converting to textile, and then posting to the database.) ",html
How do I convert a file's format from Unicode to ASCII using Python?,"I think this is a deeper issue than you realize. Simply changing the file from Unicode into ASCII is easy, however, getting all of the Unicode characters to translate into reasonable ASCII counterparts (many letters are not available in both encodings) is another. This Python Unicode tutorial may give you a better idea of what happens to Unicode strings that are translated to ASCII: http://www.reportlab.com/i18n/python_unicode_tutorial.html Here's a useful quote from the site:   Python 1.6 also gets a ""unicode""   built-in function, to which you can   specify the encoding: &gt; &gt;&gt;&gt; unicode('hello') u'hello' &gt; &gt;&gt;&gt; unicode('hello', 'ascii') u'hello' &gt; &gt;&gt;&gt; unicode('hello', 'iso-8859-1') u'hello' &gt; &gt;&gt;&gt;   All three of these return the same   thing, since the characters in 'Hello'   are common to all three encodings.      Now let's encode something with a   European accent, which is outside of   ASCII. What you see at a console may   depend on your operating system   locale; Windows lets me type in   ISO-Latin-1. &gt; &gt;&gt;&gt; a = unicode('Andr̩','latin-1') &gt; &gt;&gt;&gt; a u'Andr\202'   If you can't type an acute letter e,   you can enter the string 'Andr\202',   which is unambiguous.      Unicode supports all the common   operations such as iteration and   splitting. We won't run over them   here. ",python
Swing: Is there a way to differentiate between a user-caused ItemEvent and an application-caused one?,"You can set a flag in your code before you set the selection, and then check for this flag in the listener (and unset the flag if it is set)... There may be a better way since Java 6, but this is the way I always used to do it... [Edit]:  As David points out, you will need to set the flag (and update the combo) in the EDT using SwingUtilities.invokeLater or similar (you should do this anyway, as you are changing a UI control) ",java
Ruby and duck typing: design by contract impossible?,"It's by no means a maintenance nightmare, just another way of working, that calls for consistence in the API and good documentation.  Your concern seems related to the fact that any dynamic language is a dangerous tool, that cannot enforce API input/output contracts. The fact is, while chosing static may seem safer, the better thing you can do in both worlds is to keep a good set of tests that verify not only the type of the data returned (which is the only thing the Java compiler can verify and enforce), but also it's correctness and inner workings(Black box/white box testing). As a side note, I don't know about Ruby, but in PHP you can use @phpdoc tags to hint the IDE (Eclipse PDT) about the data types returned by a certain method. ",java
